datetime,line_id,inflow_m3d,per
2018-10-01,5247764,73125.9,9
2018-11-01,5247764,179689.0,10
2018-12-01,5247764,307767.0,11
2018-01-01,5247772,103770.0,0
2018-02-01,5247772,788225.0,1
2018-03-01,5247772,337818.0,2
2018-04-01,5247772,350795.0,3
2018-05-01,5247772,275401.0,4
2018-06-01,5247772,247344.0,5
2018-07-01,5247772,85175.3,6
2018-08-01,5247772,68303.3,7
2018-09-01,5247772,168739.0,8
2018-10-01,5247772,74730.4,9
2018-11-01,5247772,176408.0,10
2018-12-01,5247772,319657.0,11
2018-01-01,5248166,210746.0,0
2018-02-01,5248166,2351260.0,1
2018-03-01,5248166,1274650.0,2
2018-04-01,5248166,1387110.0,3
2018-05-01,5248166,844091.0,4
2018-06-01,5248166,467039.0,5
2018-07-01,5248166,49135.8,6
2018-08-01,5248166,21767.0,7
2018-09-01,5248166,429763.0,8
2018-10-01,5248166,192075.0,9
2018-11-01,5248166,558822.0,10
2018-12-01,5248166,1098710.0,11
2018-01-01,7522505,170115.0,0
2018-02-01,7522505,2222130.0,1
2018-03-01,7522505,822177.0,2
2018-04-01,7522505,1069170.0,3
2018-05-01,7522505,788394.0,4
2018-06-01,7522505,221492.0,5
2018-07-01,7522505,140315.0,6
2018-08-01,7522505,263163.0,7
2018-09-01,7522505,313952.0,8
2018-10-01,7522505,199868.0,9
2018-11-01,7522505,483345.0,10
2018-12-01,7522505,935186.0,11
2018-01-01,7522639,72423.0,0
2018-02-01,7522639,698629.0,1
2018-03-01,7522639,210910.0,2
2018-04-01,7522639,254879.0,3
2018-05-01,7522639,121535.0,4
2018-06-01,7522639,82855.7,5
2018-07-01,7522639,52916.7,6
2018-08-01,7522639,134281.0,7
2018-09-01,7522639,108569.0,8
2018-10-01,7522639,70956.6,9
2018-11-01,7522639,155741.0,10
2018-12-01,7522639,232167.0,11
2018-01-01,7522649,80182.6,0
2018-02-01,7522649,711002.0,1
2018-03-01,7522649,234709.0,2
2018-04-01,7522649,272409.0,3
2018-05-01,7522649,147737.0,4
2018-06-01,7522649,83001.3,5
2018-07-01,7522649,52050.2,6
2018-08-01,7522649,132745.0,7
2018-09-01,7522649,104962.0,8
2018-10-01,7522649,83089.6,9
2018-11-01,7522649,162958.0,10
2018-12-01,7522649,236645.0,11
2018-01-01,7526431,2257770.0,0
2018-02-01,7526431,11378800.0,1
2018-03-01,7526431,17603500.0,2
2018-04-01,7526431,10326700.0,3
2018-05-01,7526431,7734650.0,4
2018-06-01,7526431,6830890.0,5
2018-07-01,7526431,3288390.0,6
2018-08-01,7526431,4260780.0,7
